image_path,class_label,attributes,caption,split,instance_id,image_path_fixed
images\team14_wrist_watch (1).jpg,clothing_wrist_watch,color:black;material:unknown;condition:new;size:small,new small black wrist watch face,train,Team14_BlackWatch_A,/content/drive/MyDrive/DL_project/project/data/images/team14_wrist_watch (1).jpg
images\team14_wrist_watch (2).jpg,clothing_wrist_watch,color:black;material:plastic;condition:new;size:small,new small black plastic watch from side ,train,Team14_BlackWatch_B,/content/drive/MyDrive/DL_project/project/data/images/team14_wrist_watch (2).jpg
images\team14_wrist_watch (3).jpg,clothing_wrist_watch,color:yellow;material:metal;condition:new;size:small,new small yellow metal watch lying straight,train,Team14_YellowWatch_A,/content/drive/MyDrive/DL_project/project/data/images/team14_wrist_watch (3).jpg
images\team14_wrist_watch (4).jpg,clothing_wrist_watch,color:black;material:unknown;condition:new;size:small,new small black leather watch ,train,Team14_BlackWatch_C,/content/drive/MyDrive/DL_project/project/data/images/team14_wrist_watch (4).jpg
images\team14_wrist_watch (5).jpg,clothing_wrist_watch,color:black;material:unknown;condition:new;size:small,new small black wrist watch face,train,Team14_BlackWatch_D,/content/drive/MyDrive/DL_project/project/data/images/team14_wrist_watch (5).jpg
images\team14_wrist_watch (6).jpg,clothing_wrist_watch,color:yellow;material:metal;condition:new;size:small,new small yellow metal watch lying sideways,train,Team14_YellowWatch_B,/content/drive/MyDrive/DL_project/project/data/images/team14_wrist_watch (6).jpg
images\team14_wrist_watch (7).jpg,clothing_wrist_watch,color:black;material:unknown;condition:new;size:small,new small black leather watch sideways,train,Team14_BlackWatch_E,/content/drive/MyDrive/DL_project/project/data/images/team14_wrist_watch (7).jpg
images\team14_wrist_watch (8).jpg,clothing_wrist_watch,color:silver;material:unknown;condition:new;size:small,new small silver leather watch from side,train,Team14_SilverWatch_A,/content/drive/MyDrive/DL_project/project/data/images/team14_wrist_watch (8).jpg
images\team14_wrist_watch (9).jpg,clothing_wrist_watch,color:black;material:unknown;condition:new;size:small,new small black leather watch from side,train,Team14_BlackWatch_AS,/content/drive/MyDrive/DL_project/project/data/images/team14_wrist_watch (9).jpg
images\team14_wrist_watch (10).jpg,clothing_wrist_watch,color:yellow;material:metal;condition:new;size:small,new small yellow metal wrist watch face,train,Team14_YellowWatch_C,/content/drive/MyDrive/DL_project/project/data/images/team14_wrist_watch (10).jpg
images\team14_wrist_watch (11).jpg,clothing_wrist_watch,color:black;material:plastic;condition:new;size:small,new small black plastic watch from side ,train,Team14_BlackWatch_F,/content/drive/MyDrive/DL_project/project/data/images/team14_wrist_watch (11).jpg
images\team14_wrist_watch (12).jpg,clothing_wrist_watch,color:silver;material:metal;condition:new;size:small,new small silver metal watch from side ,train,Team14_SilverWatch_B,/content/drive/MyDrive/DL_project/project/data/images/team14_wrist_watch (12).jpg
images\team14_wrist_watch (13).jpg,clothing_wrist_watch,color:silver;material:metal;condition:new;size:small,new small silver metal watch lying diagonally,train,Team14_SilverWatch_C,/content/drive/MyDrive/DL_project/project/data/images/team14_wrist_watch (13).jpg
images\team14_wrist_watch (14).jpg,clothing_wrist_watch,color:silver;material:metal;condition:new;size:small,new small silver metal watch lying sideways,train,Team14_SilverWatch_V,/content/drive/MyDrive/DL_project/project/data/images/team14_wrist_watch (14).jpg
images\team14_wrist_watch (15).jpg,clothing_wrist_watch,color:black;material:rubber;condition:new;size:small,new small black plastic watch from the side ,val,Team14_BlackWatch_AR,/content/drive/MyDrive/DL_project/project/data/images/team14_wrist_watch (15).jpg
images\team14_wrist_watch (16).jpg,clothing_wrist_watch,color:yellow;material:metal;condition:new;size:small,new small yellow metal watch lying straight,train,Team14_SilverWatch_D,/content/drive/MyDrive/DL_project/project/data/images/team14_wrist_watch (16).jpg
images\team14_wrist_watch (17).jpg,clothing_wrist_watch,color:yellow;material:metal;condition:new;size:small,new small yellow metal watch lying sideways,train,Team14_YellowWatch_E,/content/drive/MyDrive/DL_project/project/data/images/team14_wrist_watch (17).jpg
images\team14_wrist_watch (18).jpg,clothing_wrist_watch,color:black;material:metal;condition:new;size:small,new small black metal analog watch from front ,train,Team14_BlackWatch_AQ,/content/drive/MyDrive/DL_project/project/data/images/team14_wrist_watch (18).jpg
images\team14_wrist_watch (19).jpg,clothing_wrist_watch,color:silver;material:metal;condition:new;size:small,new small silver metal watch from side ,train,Team14_SilverWatch_E,/content/drive/MyDrive/DL_project/project/data/images/team14_wrist_watch (19).jpg
images\team14_wrist_watch (20).jpg,clothing_wrist_watch,color:black;material:plastic;condition:new;size:small,new small black plastic wrist watch from side,train,Team14_BlackWatch_G,/content/drive/MyDrive/DL_project/project/data/images/team14_wrist_watch (20).jpg
images\team14_wrist_watch (21).jpg,clothing_wrist_watch,color:silver;material:unknown;condition:new;size:small,new small silver leather wrist watch from side ,train,Team14_SilverWatch_F,/content/drive/MyDrive/DL_project/project/data/images/team14_wrist_watch (21).jpg
images\team14_wrist_watch (22).jpg,clothing_wrist_watch,color:black;material:plastic;condition:new;size:small,new small black plastic watch from side ,train,Team14_BlackWatch_H,/content/drive/MyDrive/DL_project/project/data/images/team14_wrist_watch (22).jpg
images\team14_wrist_watch (23).jpg,clothing_wrist_watch,color:yellow;material:metal;condition:new;size:small,new small yellow metal watch from side ,train,Team14_YellowWatch_F,/content/drive/MyDrive/DL_project/project/data/images/team14_wrist_watch (23).jpg
images\team14_wrist_watch (24).jpg,clothing_wrist_watch,color:black;material:plastic;condition:new;size:small,new small black plastic watch upside down ,train,Team14_BlackWatch_I,/content/drive/MyDrive/DL_project/project/data/images/team14_wrist_watch (24).jpg
images\team14_wrist_watch (25).jpg,clothing_wrist_watch,color:silver;material:unknown;condition:new;size:small,new small silver leather watch from side ,train,Team14_SilverWatch_G,/content/drive/MyDrive/DL_project/project/data/images/team14_wrist_watch (25).jpg
images\team14_wrist_watch (26).jpg,clothing_wrist_watch,color:black;material:unknown;condition:new;size:small,new small black leather watch from front,train,Team14_BlackWatch_J,/content/drive/MyDrive/DL_project/project/data/images/team14_wrist_watch (26).jpg
images\team14_wrist_watch (27).jpg,clothing_wrist_watch,color:yellow;material:metal;condition:new;size:small,new small yellow metal watch from top,train,Team14_YellowWatch_G,/content/drive/MyDrive/DL_project/project/data/images/team14_wrist_watch (27).jpg
images\team14_wrist_watch (28).jpg,clothing_wrist_watch,color:yellow;material:metal;condition:new;size:small,new small yellow metal watch from front,train,Team14_YellowWatch_H,/content/drive/MyDrive/DL_project/project/data/images/team14_wrist_watch (28).jpg
images\team14_wrist_watch (29).jpg,clothing_wrist_watch,color:black;material:unknown;condition:new;size:small,new small black leather watch from front,train,Team14_BlackWatch_K,/content/drive/MyDrive/DL_project/project/data/images/team14_wrist_watch (29).jpg
images\team14_wrist_watch (30).jpg,clothing_wrist_watch,color:black;material:unknown;condition:new;size:small,new small black analog wrist watch,val,Team14_BlackWatch_L,/content/drive/MyDrive/DL_project/project/data/images/team14_wrist_watch (30).jpg
images\team14_wrist_watch (31).jpg,clothing_wrist_watch,color:black;material:metal;condition:new;size:small,new small black metal analog watch,train,Team14_BlackWatch_M,/content/drive/MyDrive/DL_project/project/data/images/team14_wrist_watch (31).jpg
images\team14_wrist_watch (32).jpg,clothing_wrist_watch,color:silver;material:metal;condition:new;size:small,new small silver metal watch from side ,train,Team14_SilverWatch_H,/content/drive/MyDrive/DL_project/project/data/images/team14_wrist_watch (32).jpg
images\team14_wrist_watch (33).jpg,clothing_wrist_watch,color:black;material:metal;condition:new;size:small,new small black metal watch from back,val,Team14_BlackWatch_N,/content/drive/MyDrive/DL_project/project/data/images/team14_wrist_watch (33).jpg
images\team14_wrist_watch (34).jpg,clothing_wrist_watch,color:silver;material:metal;condition:new;size:small,new small silver metal watch from side ,train,Team14_SilverWatch_I,/content/drive/MyDrive/DL_project/project/data/images/team14_wrist_watch (34).jpg
images\team14_wrist_watch (35).jpg,clothing_wrist_watch,color:white;material:metal;condition:new;size:small,new small silver metal watch analog,val,Team14_SilverWatch_J,/content/drive/MyDrive/DL_project/project/data/images/team14_wrist_watch (35).jpg
images\team14_wrist_watch (36).jpg,clothing_wrist_watch,color:black;material:metal;condition:new;size:small,new small black metal watch analog ,val,Team14_BlackWatch_O,/content/drive/MyDrive/DL_project/project/data/images/team14_wrist_watch (36).jpg
images\team14_wrist_watch (37).jpg,clothing_wrist_watch,color:silver;material:metal;condition:new;size:small,new small silver metal watch flipped over,train,Team14_SilverWatch_K,/content/drive/MyDrive/DL_project/project/data/images/team14_wrist_watch (37).jpg
images\team14_wrist_watch (38).jpg,clothing_wrist_watch,color:blue;material:metal;condition:new;size:small,new small blue metal watch from side ,train,Team14_BlueWatch_A,/content/drive/MyDrive/DL_project/project/data/images/team14_wrist_watch (38).jpg
images\team14_wrist_watch (39).jpg,clothing_wrist_watch,color:blue;material:unknown;condition:new;size:small,new small blue leather watch lying straight,train,Team14_BlueWatch_B,/content/drive/MyDrive/DL_project/project/data/images/team14_wrist_watch (39).jpg
